type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,null,false,null,null,null,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,150.0,null,null,false,null,null,null,null
CALORIES_BURNED_GOAL,DAILY,2659.0,188.0,INPROGRESS_SO_FAR_MISSED,false,2025-09-02,2025-09-03,2025-07-12T04:48:16.000+00:00,null
STEPS_GOAL,DAILY,10000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-09-02,2025-09-03,2025-07-12T04:48:16.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-08-07,2025-08-08,2025-07-12T04:48:16.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-09-02,2025-09-03,2025-07-12T04:48:16.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-09-02,2025-09-03,2025-07-12T04:48:16.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,4305.0,INPROGRESS_SO_FAR_MISSED,true,2025-08-30,2025-09-06,2025-07-12T04:48:16.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,1.85172,INPROGRESS_SO_FAR_MISSED,false,2025-08-30,2025-09-06,2025-07-12T04:48:16.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,47.0,INPROGRESS_SO_FAR_MISSED,false,2025-08-02,2025-08-09,2025-07-12T04:48:16.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,18613.0,6092.0,INPROGRESS_SO_FAR_MISSED,false,2025-08-30,2025-09-06,2025-07-12T04:48:16.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-07-05,2025-07-12,2025-07-12T04:48:16.000+00:00,null