timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2025-08-02T07:24:00,12.6,0.7,4.097,12.6,0.7,4.097,-1.0,0.0,2.337,12.4,0.7,2.945
2025-08-03T06:57:00,12.0,0.6,4.583,11.6,1.0,2.934,12.0,0.6,4.583,12.0,0.4,2.558
2025-08-04T05:35:30,12.6,0.7,4.391,12.6,0.7,4.391,12.0,0.9,7.338,-1.0,0.0,1.329
2025-08-05T04:43:30,12.2,1.1,5.082,13.8,1.0,3.335,12.2,1.1,5.082,-1.0,0.0,2.184
2025-08-05T06:03:30,12.6,0.9,7.846,13.8,1.0,3.335,12.6,0.9,7.846,10.6,2.3,3.582
2025-08-05T07:44:30,13.6,0.9,4.389,13.6,0.9,4.389,12.4,1.1,7.897,9.8,2.8,2.619
2025-08-06T07:40:30,12.8,1.3,5.84,12.8,1.3,5.84,12.2,1.1,4.326,11.6,2.0,3.067
2025-08-11T04:58:30,16.8,0.9,5.818,16.8,0.9,5.818,16.2,1.9,5.946,-1.0,0.0,2.49
2025-08-12T05:44:30,15.8,0.8,7.398,15.8,0.8,7.398,15.8,1.7,6.245,14.4,3.4,5.858
2025-08-13T05:35:30,15.6,1.3,7.284,15.6,1.3,7.284,15.0,1.6,7.483,15.8,2.5,6.956
2025-08-14T04:08:30,15.0,1.3,6.534,15.0,1.3,6.534,15.6,1.7,5.479,12.6,4.1,3.401
2025-08-14T05:31:30,15.0,1.3,6.264,15.0,1.3,6.264,15.6,1.7,5.724,12.2,4.3,3.055
2025-08-15T03:55:00,15.4,0.9,6.046,15.4,0.9,6.046,15.4,1.1,5.515,14.0,3.7,4.76
2025-08-15T06:01:30,15.0,1.1,6.631,15.0,1.1,6.631,14.6,2.4,7.449,14.0,3.7,4.522
2025-08-16T05:08:30,15.0,1.1,7.663,15.0,1.1,7.663,15.4,1.1,5.02,12.2,4.9,3.453
2025-08-19T02:29:30,17.0,0.6,7.347,16.8,0.6,2.875,17.0,0.6,7.347,10.2,1.2,3.853
2025-08-20T06:01:30,16.4,1.3,5.721,16.6,1.2,2.635,16.4,1.3,5.721,17.2,1.6,7.605
2025-08-21T06:01:30,17.8,0.9,3.154,17.8,0.9,3.154,15.6,1.9,3.428,-1.0,0.0,1.573
2025-08-22T05:01:30,16.0,0.7,5.539,15.8,0.8,3.055,16.0,0.7,5.539,-1.0,0.0,2.251
2025-08-23T06:19:30,15.4,0.6,6.246,15.4,0.6,6.246,16.4,1.6,6.45,14.8,1.7,5.179
2025-08-24T06:05:30,15.8,0.8,4.372,15.8,1.2,3.679,15.8,0.8,4.372,9.8,1.6,2.734
2025-08-25T05:22:00,15.8,1.5,6.263,-1.0,0.0,2.171,15.8,1.5,6.263,16.4,1.1,2.761
2025-08-27T08:31:30,15.0,1.5,8.699,15.0,1.5,8.699,14.4,1.8,9.754,12.6,1.0,3.935
2025-08-28T08:43:30,15.0,1.6,6.598,15.0,1.6,6.598,14.6,1.5,8.185,15.8,2.1,3.504
2025-08-29T09:15:30,15.8,1.6,11.072,15.8,1.6,11.072,14.8,1.3,10.766,15.4,1.8,3.127
2025-08-30T09:06:00,15.4,1.2,9.001,15.4,1.2,9.001,15.4,2.0,6.502,13.8,0.6,4.893
2025-08-31T09:22:30,15.0,1.5,11.695,15.0,1.5,11.695,15.2,1.9,9.483,10.8,0.5,2.733